Positive,Negative,Game_name,Positive_Rate,Link
5429,671,FINAL FANTASY XX2 HD Remaster,0.89,https://store.steampowered.com/app/359870/FINAL_FANTASY_XX2_HD_Remaster/
3868,162,Return of the Obra Dinn,0.96,https://store.steampowered.com/app/653530/Return_of_the_Obra_Dinn/
36190,1508,Castle Crashers,0.96,https://store.steampowered.com/app/204360/Castle_Crashers/
6859,5844,Call of Duty WWII,0.54,https://store.steampowered.com/app/476600/Call_of_Duty_WWII/
5175,1136,MudRunner,0.82,https://store.steampowered.com/app/675010/MudRunner/
4712,97,Keep Talking and Nobody Explodes,0.98,https://store.steampowered.com/app/341800/Keep_Talking_and_Nobody_Explodes/
13641,2039,SPORE,0.87,https://store.steampowered.com/app/17390/SPORE/
24,11,Contra Anniversary Collection,0.71,https://store.steampowered.com/app/1018020/Contra_Anniversary_Collection/
10744,3394,Fishing Planet,0.76,https://store.steampowered.com/app/380600/Fishing_Planet/
27636,10222,Just Cause 3,0.73,https://store.steampowered.com/app/225540/Just_Cause_3/
56289,2963,BioShock Infinite,0.95,https://store.steampowered.com/app/8870/BioShock_Infinite/
8815,1680,Men of War Assault Squad 2,0.84,https://store.steampowered.com/app/244450/Men_of_War_Assault_Squad_2/
1717,737,Dungeons  Dragons Online,0.7,https://store.steampowered.com/app/206480/Dungeons__Dragons_Online/
1472,1205,JUMP FORCE,0.55,https://store.steampowered.com/app/816020/JUMP_FORCE/
43,8,Desert Skies,0.86,https://store.steampowered.com/app/1048950/Desert_Skies/
40654,14284,Ring of Elysium,0.74,https://store.steampowered.com/app/755790/Ring_of_Elysium/
23791,3245,METAL GEAR SOLID V THE PHANTOM PAIN,0.88,https://store.steampowered.com/app/287700/METAL_GEAR_SOLID_V_THE_PHANTOM_PAIN/
10487,2461,TEKKEN 7,0.81,https://store.steampowered.com/app/389730/TEKKEN_7/
2678,670,Golf It,0.8,https://store.steampowered.com/app/571740/Golf_It/
6876,362,Shadow Tactics Blades of the Shogun,0.95,https://store.steampowered.com/app/418240/Shadow_Tactics_Blades_of_the_Shogun/
65850,35459,Heroes  Generals,0.65,https://store.steampowered.com/app/227940/Heroes__Generals/
3265,246,Ultimate Doom,0.93,https://store.steampowered.com/app/2280/Ultimate_Doom/
3154,132,GORN,0.96,https://store.steampowered.com/app/578620/GORN/
7352,1614,DRAGON BALL FighterZ,0.82,https://store.steampowered.com/app/678950/DRAGON_BALL_FighterZ/
285,96,Fantasy Grounds,0.75,https://store.steampowered.com/app/252690/Fantasy_Grounds/
7169,2023,DRAGON BALL XENOVERSE 2,0.78,https://store.steampowered.com/app/454650/DRAGON_BALL_XENOVERSE_2/
19222,3130,Frostpunk,0.86,https://store.steampowered.com/app/323190/Frostpunk/
5121,386,Universe Sandbox,0.93,https://store.steampowered.com/app/230290/Universe_Sandbox/
5629,2083,Shadowverse CCG,0.73,https://store.steampowered.com/app/453480/Shadowverse_CCG/
3531,1055,Fable Anniversary,0.77,https://store.steampowered.com/app/288470/Fable_Anniversary/
2312,408,Baldurs Gate II Enhanced Edition,0.85,https://store.steampowered.com/app/257350/Baldurs_Gate_II_Enhanced_Edition/
5829,2268,Freestyle 2 Street Basketball,0.72,https://store.steampowered.com/app/339610/Freestyle_2_Street_Basketball/
5990,817,PC Building Simulator,0.88,https://store.steampowered.com/app/621060/PC_Building_Simulator/
5107,832,Battle Brothers,0.86,https://store.steampowered.com/app/365360/Battle_Brothers/
2348,826,The Surge,0.74,https://store.steampowered.com/app/378540/The_Surge/
2703,2212,Total War Saga THRONES OF BRITANNIA,0.55,https://store.steampowered.com/app/712100/Total_War_Saga_THRONES_OF_BRITANNIA/
1414,175,Parkitect,0.89,https://store.steampowered.com/app/453090/Parkitect/
200,45,Between the Stars,0.82,https://store.steampowered.com/app/727130/Between_the_Stars/
9511,1176,ShellShock Live,0.89,https://store.steampowered.com/app/326460/ShellShock_Live/
